Feature Set,Best Country Acc,Best Time Acc,Best Activity Acc
pretrained_original,0.7671957671957672,0.5978835978835979,0.7142857142857143
pretrained_improved,0.7301587301587301,0.6084656084656085,0.746031746031746
pretrained_normalized,0.7248677248677249,0.6084656084656085,0.708994708994709
pretrained_minmax,0.7566137566137566,0.6084656084656085,0.708994708994709
simple_original,0.9682539682539683,1.0,0.7195767195767195
simple_normalized,1.0,1.0,0.6825396825396826
simple_minmax,0.9788359788359788,1.0,0.6878306878306878
