student_id,n_places,n_activities,n_weather,n_moods,n_countries,activity_entropy,weather_entropy,mood_entropy,primary_activity,primary_weather,primary_mood,avg_desc_length,cluster,pca_1,pca_2,tsne_1,tsne_2,archetype
1211246,10,3,2,3,10,1.0296530140645737,0.5004024235381879,0.8018185525433373,Nature,Sunny,Relaxing,94.0,4,0.39614348521484877,1.418086689068743,0.8218646,0.049867943,🥾 Nature Adventurer
1211458,10,2,2,2,10,0.3250829733914482,0.5004024235381879,0.3250829733914482,Nature,Sunny,Relaxing,230.1,3,0.799339330839688,-1.35297240932786,1.212371,-3.4606228,🎯 Focused Traveler (Nature)
1211642,10,3,3,2,10,0.9433483923290391,0.639031859650177,0.3250829733914482,Nature,Sunny,Relaxing,190.2,0,0.6410410683772622,0.24081827315491178,-2.202157,0.18221068,🥾 Nature Adventurer
1211968,9,3,1,2,7,0.6837389058487535,0.0,0.34883209584303193,Nature,Sunny,Relaxing,81.11111111111111,1,-1.9756740435962268,-0.5052851216961983,5.04394,0.13273577,🎯 Focused Traveler (Nature)
1211974,10,3,1,3,9,0.8018185525433373,0.0,0.639031859650177,Nature,Sunny,Relaxing,122.5,4,-0.9724344048524146,0.6740166516921009,4.093189,0.79130733,🥾 Nature Adventurer
1212072,9,3,3,2,9,0.6837389058487535,0.6837389058487535,0.34883209584303193,Nature,Sunny,Relaxing,122.88888888888889,0,0.6028838063764566,-0.19541292771402669,-2.4651413,-0.5042535,🥾 Nature Adventurer
1212359,10,4,1,3,7,1.2798542258336676,0.0,0.639031859650177,Leisure/Other,Sunny,Relaxing,93.9,4,-2.0967856403546445,1.6692879051644443,4.030472,2.320624,🥾 Nature Adventurer
1212482,10,3,2,4,10,0.9433483923290391,0.3250829733914482,1.0888999753452235,Nature,Sunny,Relaxing,136.5,4,0.9596906015236647,1.929846118809308,1.9198786,-0.3266529,🥾 Nature Adventurer
1212564,20,3,2,3,9,0.9433483923290391,0.6108643020548935,0.8979457248567798,Nature,Sunny,Relaxing,54.9,4,0.45139891177850855,1.2715888535126245,0.78750926,-0.47957823,🥾 Nature Adventurer
1212817,20,4,1,3,10,1.366158847569202,0.0,0.639031859650177,Leisure/Other,Sunny,Relaxing,32.9,4,-1.7978437342368079,2.4344410154673835,3.2146838,2.623343,🥾 Nature Adventurer
1220003,10,1,2,2,10,0.0,0.3250829733914482,0.3250829733914482,Nature,Sunny,Relaxing,74.5,3,0.7329414538445075,-2.1823857505656292,2.2850456,-4.169865,🎯 Focused Traveler (Nature)
1220039,10,2,2,2,10,0.3250829733914482,0.3250829733914482,0.5004024235381879,Nature,Sunny,Relaxing,129.7,3,0.4560121467325229,-1.0054254047855402,1.844702,-3.350686,🎯 Focused Traveler (Nature)
1220041,9,4,2,1,8,1.2148896539491205,0.34883209584303193,0.0,Nature,Sunny,Relaxing,51.22222222222222,0,-2.257340543715699,0.3475018105349315,-0.74756134,4.4639664,🥾 Nature Adventurer
1220044,10,4,3,3,9,1.2798542258336676,0.639031859650177,0.8979457248567798,Nature,Sunny,Relaxing,40.3,4,0.42392622315774114,2.405053148964344,1.1736914,0.61837554,🥾 Nature Adventurer
1220092,19,3,2,2,10,1.0171643509248343,0.336495757583516,0.336495757583516,Nature,Sunny,Relaxing,107.3157894736842,0,-0.6198592099997395,0.4862494513935297,-0.6655548,1.8282373,🥾 Nature Adventurer
1220116,10,3,2,3,8,0.8018185525433373,0.5004024235381879,0.8018185525433373,Nature,Sunny,Relaxing,130.0,4,0.3255049173986268,0.6606419051840281,0.60413826,-0.673625,🥾 Nature Adventurer
1220148,10,4,2,1,10,0.9404479886553264,0.3250829733914482,0.0,Nature,Sunny,Relaxing,80.2,0,-1.647138684963879,0.25020980976501045,-1.7974324,3.904893,🥾 Nature Adventurer
1220162,9,2,3,4,8,0.6365141682948128,0.8486855577264172,1.1490596969706204,Nature,Sunny,Relaxing,336.22222222222223,3,3.0628648819359006,0.2690565266524646,-0.76666087,-3.5793698,🎯 Focused Traveler (Nature)
1220184,10,3,2,4,9,0.9433483923290391,0.6730116670092565,0.9404479886553264,Nature,Sunny,Relaxing,100.0,4,1.0712339966329385,1.6469219944841078,1.1158904,-0.9462205,🥾 Nature Adventurer
1220185,10,3,2,2,10,0.8018185525433373,0.6108643020548935,0.6108643020548935,Nature,Sunny,Relaxing,120.2,0,0.2564676444530647,0.42912981612992485,-0.6957831,0.4460005,🥾 Nature Adventurer
