k,metric,weights,country_accuracy,country_f1_macro,country_f1_weighted,time_accuracy,time_f1_macro,time_f1_weighted,activity_accuracy,activity_f1_macro,activity_f1_weighted,avg_accuracy
1,cosine,uniform,0.5978835978835979,0.6049591033966033,0.6014384204860395,0.4656084656084656,0.3395294507747031,0.47054341976871666,0.6190476190476191,0.5511829765745766,0.6191205115049027,0.5608465608465608
1,euclidean,uniform,0.6772486772486772,0.6708308133859604,0.6806521935373475,0.4603174603174603,0.34375325086699526,0.46879242824966055,0.6031746031746031,0.5540358220211161,0.6060167588402883,0.5802469135802468
1,euclidean,distance,0.6772486772486772,0.6708308133859604,0.6806521935373475,0.4603174603174603,0.34375325086699526,0.46879242824966055,0.6031746031746031,0.5540358220211161,0.6060167588402883,0.5802469135802468
1,manhattan,uniform,0.6507936507936508,0.6535323381063565,0.6547446410188428,0.48148148148148145,0.36606083510845416,0.49009031150628535,0.5978835978835979,0.5480315595434566,0.6026729961720254,0.5767195767195767
1,manhattan,distance,0.6507936507936508,0.6535323381063565,0.6547446410188428,0.48148148148148145,0.36606083510845416,0.49009031150628535,0.5978835978835979,0.5480315595434566,0.6026729961720254,0.5767195767195767
1,minkowski,uniform,0.6772486772486772,0.6708308133859604,0.6806521935373475,0.4603174603174603,0.34375325086699526,0.46879242824966055,0.6031746031746031,0.5540358220211161,0.6060167588402883,0.5802469135802468
1,minkowski,distance,0.6772486772486772,0.6708308133859604,0.6806521935373475,0.4603174603174603,0.34375325086699526,0.46879242824966055,0.6031746031746031,0.5540358220211161,0.6060167588402883,0.5802469135802468
3,cosine,uniform,0.6031746031746031,0.5900969791067942,0.6016113328105452,0.5185185185185185,0.36260894278135664,0.5085057070278746,0.6190476190476191,0.5639210243828935,0.6212216219151097,0.5802469135802469
3,cosine,distance,0.6296296296296297,0.6272663079630323,0.6327776647020946,0.5132275132275133,0.37472753429435013,0.5135683500453322,0.6296296296296297,0.5757931643830718,0.6359405247026728,0.5908289241622575
3,euclidean,uniform,0.6402116402116402,0.6007764156530604,0.6344834184349639,0.49206349206349204,0.46830145184666894,0.4819849123450003,0.6031746031746031,0.5465928323601591,0.6070488978079738,0.5784832451499118
3,euclidean,distance,0.6825396825396826,0.6700294209203721,0.6822862681150083,0.4603174603174603,0.4067531305903399,0.461923151291922,0.6296296296296297,0.5752722594329885,0.6341779410901276,0.5908289241622575
3,manhattan,uniform,0.6190476190476191,0.6001239014157321,0.6171901912934283,0.5079365079365079,0.5302247952850362,0.5016285853922112,0.6084656084656085,0.5589170877182492,0.609246414556149,0.5784832451499118
3,manhattan,distance,0.671957671957672,0.6629010872413692,0.6739016944514452,0.48677248677248675,0.4438410690392473,0.48791860012763516,0.6349206349206349,0.586587099260401,0.6343798778525838,0.5978835978835978
3,minkowski,uniform,0.6402116402116402,0.6007764156530604,0.6344834184349639,0.49206349206349204,0.46830145184666894,0.4819849123450003,0.6031746031746031,0.5465928323601591,0.6070488978079738,0.5784832451499118
3,minkowski,distance,0.6825396825396826,0.6700294209203721,0.6822862681150083,0.4603174603174603,0.4067531305903399,0.461923151291922,0.6296296296296297,0.5752722594329885,0.6341779410901276,0.5908289241622575
5,cosine,uniform,0.6031746031746031,0.5888905427218121,0.5973603146461763,0.5185185185185185,0.35765765765765767,0.5028552361885695,0.6455026455026455,0.5976580796252927,0.6421076711474838,0.5890652557319224
5,cosine,distance,0.6190476190476191,0.6357751768355484,0.6203066264469773,0.5291005291005291,0.38084193863088334,0.5249023573981698,0.6666666666666666,0.6087516087516087,0.667347619728572,0.6049382716049383
5,euclidean,uniform,0.656084656084656,0.6047838555920452,0.647600767670098,0.49206349206349204,0.33832385016595545,0.4752905787993507,0.6349206349206349,0.5728579489349697,0.6322516216718502,0.5943562610229277
5,euclidean,distance,0.708994708994709,0.6878128713606655,0.7073865011773509,0.47619047619047616,0.34063307455518216,0.4686198925244016,0.6402116402116402,0.568141357096581,0.6373100062652302,0.6084656084656085
5,manhattan,uniform,0.6666666666666666,0.6089461424590734,0.6592335506128609,0.48148148148148145,0.34309787318636875,0.4730537554810627,0.6772486772486772,0.6194524624311859,0.6745882171414086,0.6084656084656085
5,manhattan,distance,0.6772486772486772,0.6469004220577605,0.6757061023597312,0.4497354497354497,0.3319327731092437,0.44826819616735586,0.6666666666666666,0.5891343300996766,0.6616334472953467,0.5978835978835978
5,minkowski,uniform,0.656084656084656,0.6047838555920452,0.647600767670098,0.49206349206349204,0.33832385016595545,0.4752905787993507,0.6349206349206349,0.5728579489349697,0.6322516216718502,0.5943562610229277
5,minkowski,distance,0.708994708994709,0.6878128713606655,0.7073865011773509,0.47619047619047616,0.34063307455518216,0.4686198925244016,0.6402116402116402,0.568141357096581,0.6373100062652302,0.6084656084656085
7,cosine,uniform,0.6190476190476191,0.6131319667205396,0.6157758046345633,0.5291005291005291,0.3640243591703613,0.5100814372077686,0.6402116402116402,0.5894249543606618,0.6363814706358322,0.5961199294532628
7,cosine,distance,0.6349206349206349,0.6464362637505617,0.6353801410120288,0.5396825396825397,0.3858091935981383,0.5303578072980643,0.6666666666666666,0.6324836226152015,0.6656202951106878,0.6137566137566136
7,euclidean,uniform,0.671957671957672,0.6215632697933899,0.6621284037169766,0.5291005291005291,0.3715201022381873,0.5151897100985247,0.656084656084656,0.5697456265417431,0.6465704019102078,0.619047619047619
